pay	pagar	Le_pagan_10_euros_la_hora.	They_pay_her_10_euros_an_hour.
study	estudiar	Hay_que_estudiar_mucho_para_ser_abogado.	You_have_to_study_hard_to_be_a_lawyer.
wait	esperar	Tuvimos_que_esperar	We_had_to_wait_6_hours_for_her.
turn_off	apagar	Antes_de_cerrar_la_puerta,_apaga_todas_las_luces.	Before_closing_the_door,_turn_off_all_the_lights.
complain	quejarse	No_hay_mucho_de_lo_que_quejarse.	There_is_nothing_much_to_complain_about.
eat	comer	Los_vegetarianos_no_comen_carne.	Vegetarians_don't_eat.
spend	gastar	Intentan_no_gastar_mucho_dinero.	They_are_trying_not_to_spend_much_money.
explain	explicar	Tenemos_un_documento_legal_que_explica_nuestra_política.	We_have_a_legal_document_which_explains_our_policy.
smoke	fumar	I_don't_smoke_any_more.	Ya_no_fumo.
allow	permitir_/_dejar	No_se_permite_fumar.	Smoking_is_not_permitted.
fly	volar	Un_pájaro_vuela_a_una_velocidad_de_5m/s.	A_bird_flies_at_a_speed_of_5m/s.
change	cambiar	Hay_que_cambiar_muchas_cosas_en_este_país.	It_is_necessary_to_change_a_lot_of_things_in_this_country.
say	decir	Los_chicos_dijeron_que_no_habían_visto_a_nadie.	The_boys_said_they_hadn't_seen_anyone.
buy	comprar	Si_vas_al_supermercado,_compra_vino_tinto.	If_you_go_to_the_supermarket,_buy_some_red_wine.
want	querer_-_desear	Quiero_viajar_por_todo_el_mundo.	I_want_to_travel_around_the_world.
run	correr	Su_objetivo_es_correr_un_maratón.	His_goal_is_to_run_a_marathon.
cough	toser	Cubre_tu_boca_cada_vez_que_toses.	Cover_your_mouth_whenever_you_cough.
hear	oir	Tienes_que_hablar_más_fuerte:_no_te_oigo.	You_must_speak_louder:_I_can't_hear_you.
use	utilizar_/_usar	Utiliza_una_escoba_para_barrer_el_suelo.	Use_a_broom_to_sweep_the_floor.
cut	cortar	Corta_la_carne_con_un_cuchillo_muy_afilado.	Cut_the_meat_with_a_very_sharp_knife.
draw	dibujar	Un_jugador_dibuja_una_imagen,_mientras_que_los_otros_tratan_de_adivinar_la_palabra.	One_player_draws_a_picture,_while_the_others_try_to_guess_the_word.
sit	sentarse	¡Siéntense,_por_favor,_y_dejen_de_hablar!	Please_sit_down_and_stop_talking.
ask	preguntar	Los_periodistas_me_preguntan_siempre_lo_mismo	Journalists_always_ask_me_the_same_thing.
write	escribir	Tardó_10_años_en_escribir_el_libro.	It_took_him_10_years_to_write_the_book.
spell	deletrear	¿Cómo_deletreas_tu_nombre?	How_do_you_spell_your_name?
sing	cantar	Canta_muy_bien.	She_sings_very_well.
finish	terminar	Terminé_de_pintar_la_casa_anoche.	I_finished_painting_the_house_last_night.
talk	hablar	Deberíamos_hablar_sobre_la_política.	We_should_talk_about_politics.
leave	salir_/_marcharse	Al_marcharse_de_la_casa,_no_olvides_cerrar_la_puerta.	When_leaving_the_house,_don't_forget_to_close_the_door.
see	ver	Veamos_si_es_verdad.	Let's_see_if_it's_true.
accommodation	alojamiento
(bed)_sheets	las_sábanas
a_complaint	una_reclamación
a_double_bed	una_cama_de_matrimonio
a_double_room	una_habitación_doble
a_double-bedded_room	una_habitación_con_cama_de_matrimonio
a_reservation_/_booking	una_reserva
a_room_with_en_suite_bathroom	una_habitación_con_baño
a_single_bed	una_cama_individual
a_single_room	una_habitación_individual
a_tip	una_propina
a_twin-bedded_room	una_habitación_con_camas_gemelas
air_conditioning	aire_acondicionado
bar	el_bar
bath	la_bañera
bathrobe	un_albornoz
bellboy	el_botones
bill	la_cuenta
blankets	las_mantas
car_park_attendant_/_parking_lot_attendant	el_/_la_guardacoches
comb	un_peine
chambermaid	la_camarera_de_pisos
dining_room	el_comedor
elevator_/_lift	el_ascensor
first_(second/third/fourth)_floor	primera_(segunda/tercera/cuarta)_planta
hair_dryer	el_secador_de_pelo
heating	calefacción
hot_water	agua_caliente
key	la_llave
key_card	la_tarjeta_llavero
laundry_service	el_servicio_de_lavandería
lounge	el_salón
luggage	el_equipaje
manager	el_director
mattress	el_colchón
pillow	la_almohada
razor	la_máquina_de_afeitar
receipt	la_factura
reception	la_recepción
